# PocketRoles lang/defaults-history.tsv, made by tools/LangTool (dotnet run --project tools/LangTool -- history). Do not edit by hand.
# Texts earlier versions shipped as the default of lang/<file>, and the texts of a contributor's commit (PR #1's
# zh-CN.json), never today's: the first 16 hex digits of the SHA-256 of the text, and the generation in which it was
# replaced. Lang.Load gives a host's BepInEx/PocketRoles/lang/<file> the new default only where the text is still one
# of these (replaced after the generation that file last got, BepInEx/PocketRoles/lang/defaults-applied.txt); a text
# the host wrote is never touched.
generation	8
# file	key	generation	hash
en.json	about.compat.1	1	3abb97425674abfb
en.json	about.compat.1	1	9591740a618289ae
en.json	about.compat.1	1	a1c6ff4c9d7e2949
en.json	about.compat.2	1	26276655834dc01c
en.json	about.compat.2	1	39692ed73cd58254
en.json	about.roles	1	8c079c0e7d22998b
en.json	about.roles	1	aad7cf9518e0759a
en.json	ac.cleared	1	11902694548ade07
en.json	ac.exempt	1	cbd7d49e9b66c254
en.json	ac.kicked	1	df0b3161cb9edfbb
en.json	ac.kicked.public	1	90c0126c149bc798
en.json	ac.kicked.public	1	c1c4c577eb7dbd3c
en.json	ac.list.header	1	d2a94daaae594681
en.json	ac.list.none	1	71ddba72d217c159
en.json	ac.notice	1	2a3a86883a524ac5
en.json	ac.notice.appeal	8	2b6fa03aa4b43358
en.json	ac.rule.colorspam	1	e6e2467122c0acb6
en.json	ac.rule.namechange	1	f207855b30299512
en.json	ac.rule.speedhack	1	a4c2bf8ab53a081f
en.json	ac.test.later	2	acc846ddf31265ab
en.json	ac.usage	2	903031480f9d9353
en.json	ac.usage	1	91677913ecf9f48b
en.json	ac.usage	1	e50ee9d8d8b65405
en.json	ac.usage	1	e615f4d657f06b66
en.json	ac.usage	1	eb77c169f168f553
en.json	ac.usage	1	f4f019acc47b94be
en.json	aegis.appeal.modban	8	86911bc526bce2b1
en.json	aegis.appeal.note	8	cb166f96d4bd71f8
en.json	aegis.join.host	1	7d1916c8cbc13b1e
en.json	aegis.join.public	1	31a7dcb43df087c3
en.json	aegis.join.public	1	8c19a18c40ec9170
en.json	aegis.join.public	1	f0b99cdc05d77f9d
en.json	aegis.join.public.id	8	a2cff4328da073e0
en.json	aegis.join.you	1	79794a139463e3fb
en.json	aegis.join.you	1	eb05596abe91c70e
en.json	aegis.report.done	1	07e8a6be88b0d3a5
en.json	aegis.report.done	1	9384aa701d7c9726
en.json	aegis.stop.failed	2	15a8ebe069e9d909
en.json	aegis.stop.host	2	b0b95e042ca5b329
en.json	aegis.stop.public	2	f1f63ed625cb7e83
en.json	aegis.stop.skip.cap	2	031375d9a231760a
en.json	aegis.stop.skip.noeffect	2	9108655a4ab33fe9
en.json	aegis.stop.wait	2	6eeed1e7f9cfb892
en.json	aegis.unban.done	1	60012fb5d4002e6b
en.json	aegis.update.popup	8	1b7d9101c2c6d62d
en.json	aegis.update.rules.below	8	50087133099c0225
en.json	aegis.update.rules.ignored	8	57da7afff1bd68c6
en.json	aegis.update.rules.ok	8	3bd4bc675695ed82
en.json	aegis.update.rules.src.lenient	8	13c59cfe84504859
en.json	aegis.update.rules.updated.lenient	8	e95f095bf2008405
en.json	aegis.update.steam.inplace	8	4c6b6ad189d2da12
en.json	aegis.update.steam.short.inplace	8	072ca787bf78ee37
en.json	aegis.update.toast	8	ef2f2b9fa3e16883
en.json	cmd.announce.compat	1	00d1f06d9e25ee01
en.json	cmd.announce.compat.self	1	7fcf3414a96d5332
en.json	cmd.announce.step3	1	48a92a3e55383d65
en.json	cmd.announce.step3	1	9afb7610b8eacabf
en.json	cmd.ban.usage	1	0f37d87a105a75ff
en.json	cmd.id.none	8	3fff0278a9ad7588
en.json	cmd.id.reply	1	11a76805504325bc
en.json	cmd.id.reply	8	40e0e53b3e8a92ee
en.json	cmd.id.reply	8	4bab983677885a77
en.json	cmd.id.reply	1	a01e1fe3111e7936
en.json	cmd.lang.default	1	4ec4681b0c99dc33
en.json	cmd.lang.default.usage	1	a1f017283e49b66e
en.json	cmd.lang.state	1	0e7daba8e2832807
en.json	cmd.lang.usage	1	b958a009314010c7
en.json	cmd.move.auto	1	308ae02b3975e86b
en.json	cmd.move.auto	1	dec1b6ea03d73307
en.json	cmd.move.registered	1	d02958f820e0c317
en.json	cmd.move.registered	1	ed5b2e6ddaacef25
en.json	cmd.move.sent	1	75a83607eff2a992
en.json	cmd.move.usage	1	f452aae7db328553
en.json	cmd.opt.usage2	1	5b6d188d69fff780
en.json	cmd.opt.usage2	1	86a01b2a9ea07e6f
en.json	cmd.opt.usage2	1	b8604ddd93df81a2
en.json	cmd.opt.usage2	1	cdfb6b0f4a2b87b7
en.json	cmd.public.on	8	8efc1deb6c422924
en.json	cmd.region.auto	8	7c8f9e915781528a
en.json	cmd.region.notable	8	26e3e7001922edae
en.json	cmd.ro.madmate	1	6f272e58063d7aa6
en.json	cmd.ro.sheriff	1	75304928b6406e0f
en.json	cmd.ro.sheriff.madmate	1	1b6ee00979de855d
en.json	cmd.show.compat.player	1	53ca2c45cca085ea
en.json	cmd.show.compat.player	1	80f42b77a1ccd7e2
en.json	cmd.show.compat.player	1	f008ca8848e67532
en.json	cmd.welcome.usage	1	67c7d10e69c44afe
en.json	compat.norole	1	3dfb693799d96de8
en.json	compat.norole	1	a2e99db781334849
en.json	compat.on.public	1	1532306b582902b9
en.json	compat.on.public	1	763f2ce495c0361f
en.json	compat.roles.off	1	72097615f4a29003
en.json	compat.roles.off	1	9c68eafcbc5b4c56
en.json	compat.roles.off	1	b5fb2a0451cea603
en.json	compat.welcome	1	447f985ca4322b3f
en.json	compat.welcome	1	46732b2680459709
en.json	compat.welcome	1	8c3f9676d9fcd46a
en.json	compat.welcome	1	9a206fc1ba4fe1cb
en.json	compat.welcome	1	9f890fa54ed45838
en.json	compat.welcome	1	a06a08a7450b65ec
en.json	compat.welcome	1	cc298d524071ddd0
en.json	discord.kind.compat	1	563022d2d1b867c8
en.json	discord.kind.compat	1	9fa8d94832c6b7c2
en.json	discord.kind.roles	1	e51f8176f25d3207
en.json	guide.clip	1	39be0bf1e849c96d
en.json	guide.move.auto.en	1	7b413e655322cdaf
en.json	guide.move.auto.ja	1	fac31475175d8242
en.json	guide.move.auto.zh	1	93750c7ee8122ee0
en.json	guide.move.code.en	1	d4b3dbced154ed45
en.json	guide.move.code.ja	1	fd0a41a6ba63f9b8
en.json	guide.move.code.zh	1	70ec500cefdf8903
en.json	guide.move.done	1	0b875cd56def1217
en.json	guide.move.done	1	74376cfec2380c7a
en.json	guide.move.name.en	1	cc3bbbcd560f145e
en.json	guide.move.name.ja	1	9b4966d60c255c4f
en.json	guide.move.name.zh	1	a7565637001e195b
en.json	guide.overlay.role	1	39be0bf1e849c96d
en.json	help.1	1	11075fe831661f70
en.json	help.compat.1	1	26b16b04ebc987b8
en.json	help.compat.1	1	5d909a14c99488bd
en.json	help.compat.2	1	2d0bd3a5265f4d05
en.json	help.compat.2	1	6b795b68a3c6ed7f
en.json	help.compat.2	1	b41ff72c6262e54b
en.json	help.host.me	1	243924ab682d35f9
en.json	help.host.me	1	69d11a4db19612af
en.json	help.host.ng	1	286a7ff74d38adea
en.json	help.lang	1	43e7fa3de22f6844
en.json	help.time	1	08eb3fc16a179dd5
en.json	help.translate	1	6f39884f49814179
en.json	help.translate.compat	1	a033abde3ccdc185
en.json	me.set	1	59c5267ca5f48761
en.json	me.state	1	1538ad75f7acc599
en.json	me.state.none	1	c83da9c3251d3dd1
en.json	me.usage	1	16a06a58d774270c
en.json	me.usage	1	bef1abfd4cdec975
en.json	ng.usage	1	dc563a0508e93828
en.json	ng.warn	1	eb1f2720f026a695
en.json	ng.warn.left	1	a72774e720750498
en.json	ng.warn.only	1	6f001f0a4a4e9cbe
en.json	opt.compat	1	18bc33c6f2d5809a
en.json	opt.compat	1	2cef1cb2294d9861
en.json	opt.compat	1	8bc126969df70938
en.json	opt.general	1	5f9d9900595ec5df
en.json	opt.name.anticheat	1	602601b1d7e2292e
en.json	opt.name.anticheat.endgame	2	f638902ae8b18380
en.json	opt.name.register	1	74e31c896366e62b
en.json	opt.name.register	1	762c3fcf6a4fc09f
en.json	opt.name.sheriff.killmadmate	1	5b8df7183e482bb7
en.json	opt.tip.anticheat.autoreport	8	6026fdafd837588f
en.json	opt.tip.anticheat.banladder	1	935fbf022ea1df32
en.json	opt.tip.anticheat.callout	1	851a33fb000b8259
en.json	opt.tip.anticheat.endgame	2	4ade88c991ae67ba
en.json	opt.tip.anticheat.remoterules	8	0b503c1b40e050a1
en.json	opt.tip.anticheat.remoterules	8	ba298a1fdefcbdf6
en.json	opt.tip.anticheat.remoterules	1	f096bf40a0f30467
en.json	opt.tip.anticheat.sharedbans	1	013e203c24836ec1
en.json	opt.tip.chat.welcomeall	1	6f6cfd63ddffac61
en.json	opt.tip.chat.welcomesettings	1	0596804d6412793d
en.json	opt.tip.guide.autoreg	1	9711f7f04e4a58ec
en.json	opt.tip.guide.autoreg	1	bba68cc9aaba5819
en.json	opt.tip.lang	1	c6fa48f7f198339c
en.json	opt.tip.lobby.maxping	1	678226258e512e0c
en.json	opt.tip.lobby.maxping	1	bfecf429e5713a23
en.json	opt.tip.lobby.maxping	1	ea2c58848e9d14d5
en.json	opt.tip.madmate.known	1	e3c75413c931e511
en.json	opt.tip.ng	1	42cbbfc32c87354d
en.json	opt.tip.ng.kickat	1	182c9056b2812492
en.json	opt.tip.register	1	145d898ec41e3ece
en.json	opt.tip.sheriff.killmadmate	1	5dc5548a45b9b113
en.json	opt.tip.translate.enabled	8	f50a04e5d8f09f9b
en.json	region.later	8	14f9557b96088cbc
en.json	register.migrated	1	089567fe5f02e01c
